Code,Area 2020,Number,,,,,Area 2019,Number,,,,,Area 2018,Number,,,,,Area 2017,Number,,,,,Area 2016,Number,,,,,Area 2015,Number,,,,,Area 2014,Number,,,,,Area 2013,Number,,,,,Area 2012,Number,,,,
,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000009,Ealing,"163,000","91,000","29,000","61,000","344,000",Ealing,"172,000","88,000","40,000","44,000","343,000",Ealing,"174,000","96,000","23,000","50,000","343,000",Ealing,"156,000","113,000","27,000","41,000","337,000",Ealing,"151,000","105,000","31,000","53,000","340,000",Ealing,"160,000","102,000","37,000","41,000","339,000",Ealing,"170,000","94,000","33,000","40,000","337,000",Ealing,"153,000","109,000","32,000","44,000","339,000",Ealing,"169,000","99,000","25,000","44,000","337,000"
E09000010,Enfield,"218,000","44,000","58,000","24,000","343,000",Enfield,"199,000","47,000","61,000","33,000","340,000",Enfield,"206,000","37,000","74,000","20,000","337,000",Enfield,"213,000","40,000","46,000","31,000","330,000",Enfield,"195,000","36,000","63,000","35,000","328,000",Enfield,"192,000","31,000","66,000","33,000","321,000",Enfield,"200,000","34,000","60,000","26,000","319,000",Enfield,"204,000","33,000","50,000","30,000","316,000",Enfield,"203,000","37,000","45,000","28,000","313,000"
E09000011,Greenwich,"158,000","61,000","55,000","19,000","292,000",Greenwich,"175,000","43,000","53,000","18,000","289,000",Greenwich,"178,000","39,000","48,000","19,000","284,000",Greenwich,"178,000","25,000","59,000","18,000","280,000",Greenwich,"164,000","43,000","54,000","15,000","276,000",Greenwich,"170,000","30,000","51,000","20,000","272,000",Greenwich,"168,000","36,000","43,000","20,000","266,000",Greenwich,"163,000","40,000","47,000","11,000","262,000",Greenwich,"165,000","32,000","47,000","13,000","257,000"
E09000012,Hackney,"167,000","19,000","49,000","53,000","289,000",Hackney,"159,000","24,000","70,000","31,000","285,000",Hackney,"144,000","32,000","63,000","42,000","281,000",Hackney,"150,000","28,000","48,000","48,000","275,000",Hackney,"153,000","23,000","49,000","48,000","272,000",Hackney,"145,000","19,000","55,000","48,000","268,000",Hackney,"135,000","19,000","63,000","45,000","262,000",Hackney,"132,000","23,000","62,000","39,000","255,000",Hackney,"132,000","30,000","46,000","41,000","251,000"
E09000013,Hammersmith and Fulham,"122,000","14,000","15,000","29,000","180,000",Hammersmith and Fulham,"126,000","14,000","21,000","19,000","180,000",Hammersmith and Fulham,"119,000","20,000","23,000","19,000","180,000",Hammersmith and Fulham,"122,000","24,000","22,000","13,000","181,000",Hammersmith and Fulham,"121,000","14,000","29,000","16,000","180,000",Hammersmith and Fulham,"119,000","15,000","23,000","23,000","180,000",Hammersmith and Fulham,"127,000","14,000","18,000","21,000","180,000",Hammersmith and Fulham,"128,000","12,000","20,000","20,000","180,000",Hammersmith and Fulham,"123,000","15,000","24,000","20,000","181,000"
E09000014,Haringey,"208,000","13,000","36,000","23,000","280,000",Haringey,"182,000","16,000","39,000","43,000","279,000",Haringey,"180,000","18,000","34,000","44,000","276,000",Haringey,"180,000","19,000","39,000","32,000","269,000",Haringey,"168,000","17,000","40,000","46,000","270,000",Haringey,"164,000","21,000","46,000","36,000","267,000",Haringey,"160,000","25,000","49,000","28,000","262,000",Haringey,"159,000","28,000","41,000","31,000","259,000",Haringey,"155,000","26,000","43,000","32,000","255,000"
E09000015,Harrow,"101,000","103,000","8,000","35,000","248,000",Harrow,"106,000","108,000","8,000","28,000","250,000",Harrow,"110,000","98,000","13,000","28,000","249,000",Harrow,"110,000","103,000","10,000","24,000","247,000",Harrow,"110,000","109,000","14,000","14,000","247,000",Harrow,"103,000","106,000","13,000","23,000","245,000",Harrow,"99,000","102,000","16,000","26,000","243,000",Harrow,"105,000","98,000","17,000","21,000","241,000",Harrow,"94,000","105,000","13,000","27,000","240,000"
E09000016,Havering,"196,000","30,000","28,000","10,000","264,000",Havering,"202,000","28,000","23,000","7,000","261,000",Havering,"216,000","13,000","14,000","15,000","258,000",Havering,"219,000","13,000","9,000","14,000","254,000",Havering,"219,000","12,000","13,000","8,000","252,000",Havering,"217,000","13,000","11,000","7,000","248,000",Havering,"211,000","13,000","8,000","12,000","244,000",Havering,"214,000","13,000","7,000","6,000","240,000",Havering,"211,000","8,000","12,000","6,000","237,000"
E09000017,Hillingdon,"154,000","96,000","37,000","26,000","313,000",Hillingdon,"140,000","122,000","27,000","21,000","309,000",Hillingdon,"154,000","100,000","24,000","28,000","305,000",Hillingdon,"168,000","91,000","16,000","25,000","299,000",Hillingdon,"172,000","74,000","23,000","28,000","297,000",Hillingdon,"159,000","74,000","36,000","24,000","293,000",Hillingdon,"170,000","71,000","21,000","27,000","289,000",Hillingdon,"157,000","83,000","15,000","28,000","283,000",Hillingdon,"178,000","70,000","16,000","15,000","279,000"
E09000018,Hounslow,"125,000","102,000","36,000","12,000","275,000",Hounslow,"125,000","97,000","23,000","27,000","273,000",Hounslow,"130,000","86,000","25,000","29,000","269,000",Hounslow,"119,000","92,000","23,000","33,000","267,000",Hounslow,"119,000","103,000","17,000","26,000","266,000",Hounslow,"128,000","92,000","20,000","23,000","264,000",Hounslow,"139,000","90,000","12,000","22,000","263,000",Hounslow,"135,000","93,000","13,000","19,000","260,000",Hounslow,"147,000","73,000","13,000","24,000","257,000"
